"","PEAKID","PKNAME","PKNAME2","LOCATION","HEIGHTM","HEIGHTF","HIMAL","REGION","OPEN","UNLISTED","TREKKING","TREKYEAR","RESTRICT","PHOST","PSTATUS","PEAKMEMO","PYEAR","PSEASON","PEXPID","PSMTDATE","PCOUNTRY","PSUMMITERS","PSMTNOTE","REFERMEMO","PHOTOMEMO"
"210","CHUK","Chhukung Tse","Chhukung Chuli","Khumbu Himal (S of Lhotse)",5833,19137,12,2,FALSE,FALSE,TRUE,NA,NA,1,2,"792","1953",1,"CHUK53101","Apr 03","UK, Nepal","John Hunt, Tenzing Norgay Sherpa",NA,NA,NA
"211","DZAN","Dzanye","Dzanaye","Janak Himal (WNW of Lashar I on Tibetan border)",6581,21591,6,1,TRUE,FALSE,FALSE,NA,NA,4,2,"795","1949",1,"DZAN49101","Jun 30","Switzerland","Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant",NA,NA,NA
"212","GAUG","Gaugiri",NA,"Damodar Himal (N of Bhrikuti on Tibetan border)",6110,20046,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"800","2002",1,"GAUG02101","May 28","USA","Peter Ackroyd, Jim Frush",NA,NA,NA
"213","TKPO","Tengkangpoche","Thyangmoche","Rolwaling Himal (W of Kwangde)",6482,21266,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2001",1,2,"801","1984",3,"TKPO84301","Oct","UK, USA","Trevor Pilling, Andy Zimet",NA,NA,NA
"214","ARNK","Arniko Chuli","Araniko Chuli","Mukut Himal (W Mustang near Tibetan border)",6034,19797,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"803","2002",2,"ARNK02201","Jul 10","Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa",NA,NA,NA
"215","SARI","Saribung","Selibung","Damodar Himal (W of Bhrikuti)",6328,20761,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"804","2003",3,"SARI03301","Oct 15","USA","Jim Frush, Steve Furman",NA,NA,NA
"216","GHEN","Ghenge Liru","Ghenye Lirung, Langtang II","Langtang Himal (WSW of Langtang Lirung)",6596,21640,13,3,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"806","1963",1,"GHEN63101","May 28","UK, Nepal","Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)",NA,NA,NA
"217","NAUL","Naulekh",NA,"Khumbu Himal (S of Mera Peak)",6340,20801,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"809","1954",1,"NAUL54101","Jun 08","New Zealand","Colin Todd, Bill Beaven",NA,NA,NA
"218","CHEK","Chekigo",NA,"Rolwaling Himal (ENE of Beding village on Tibetan border)",6121,20082,19,2,FALSE,FALSE,TRUE,"2002","Opened in 2002 as trekking peak",4,2,"812","2005",1,"CHEK05101","May 15","UK, Switzerland","Bruce Normand, Oliver von Rotz","1st known ascent",NA,NA
"219","KTUN","Khatung Khang",NA,"Annapurna-Nilgiri Himal (SW of Thorong La)",6484,21273,1,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"814","1956",1,"KTUN56101","Apr 12","Switzerland","Arthur Baumgartner, Marguerite Deriaz",NA,NA,NA
"220","CHAG","Chago",NA,"Makalu Himal (NW of Makalu II on Tibetan border)",6893,22615,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"816","1954",1,"CHAG54101","May 29","New Zealand, Nepal","Michael Ball, Urkien Sherpa",NA,NA,NA
"221","NUMR","Numri",NA,"Khumbu Himal (S of Cho Polu, N of Baruntse)",6635,21768,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"818","2002",3,"NUMR02301","Nov 07","Germany","Olaf Rieck, Carsten Schmidt, Lydia Schubert",NA,NA,NA
"222","PK41","Peak 41","""True"" Mera Peak","Khumbu Himal (ESE of Ama Dablam)",6648,21811,12,2,TRUE,FALSE,FALSE,"2002","Opened in 2002",1,2,"820","2002",3,"PK4102301","Oct 16","Slovenia","Matic Jost, Urban Golob, Uros Samec","Rumored that two Americans and two Swiss (and possibly others) summited in earlier years",NA,NA
"223","KYAZ","Kyazo Ri","Kyajo Ri","Khumbu Himal (SW of Gokyo Lake)",6151,20180,12,2,FALSE,FALSE,TRUE,"2002","Opened in 2002 as trekking peak",1,2,"822","2002",3,"KYAZ02301","Oct 20","UK, France","Duncan Wilson, Vincent Marche",NA,NA,NA
"224","PAND","Pandra",NA,"Ohmi Kangri Himal (NW of Lhonak)",6670,21883,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"824","2002",3,"PAND02301","Oct 16","Denmark","Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",NA,NA,NA
"225","DANG","Danga",NA,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",6220,20407,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"827","2002",3,"DANG02301","Oct 20","Denmark","Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",NA,NA,NA
"226","POKR","Pokharkang","Pokhar Khang","Damodar Himal (N of Pisang Peak)",6372,20906,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"830","2002",3,"POKR02301","Nov 17","UK, Nepal","Richard Scott, Dave Wynne-Jones, Kaji Sherpa","Japanese team led by Koichi Kato climbed NW Smt on Oct 31, 2002 [which they thought was the highest]",NA,NA
"227","NAG1","Nangpai Gosum I","Nagpai Gosum I, Cho Aui","Khumbu Himal (WSW of Cho Oyu on Tibetan border)",7321,24019,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"833","2017",3,"NAG117301","Oct 03","Germany","Jost Kobusch",NA,NA,NA
"228","KGRI","Khangri Shar",NA,"Khumbu Himal (W of Pumori)",6792,22283,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"839",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"229","KGRW","Khangri West",NA,"Khumbu Himal (W of Pumori)",6658,21844,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"841",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"230","PURB","Purbung Himal","Putrung","Damodar Himal (N of Chulu West)",6500,21325,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"844",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"231","TASH","Tashi Kang","Tashi Khang","Mukut Himal (N of Dhampus Peak)",6386,20951,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"846","2002",2,"TASH02201","Aug 14","Japan, Nepal","Yasue Mogi, Gyalzen Sherpa",NA,NA,NA
"232","TENR","Tengi Ragi Tau","Agole, Angole","Rolwaling Himal (N of Tesi Laptsa)",6938,22762,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"848","2002",4,"TENR02401","Dec 04","Japan, Nepal","Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang",NA,NA,NA
"233","KYAS","Kyashar","Peak 43, Tangnag Tseng","Khumbu Himal (S of Kantega)",6770,22211,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"850","2003",3,"KYAS03301","Oct 18","UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank",NA,NA,NA
"234","NREK","Nirekha",NA,"Khumbu Himal (NW of Lobuje Peak)",6159,20207,12,2,FALSE,FALSE,TRUE,"2002","Opened in 2002 as trekking peak",1,2,"852",NA,0,NA,NA,NA,"1st ascent unknown","Climbing history unknown",NA,NA
"235","NORB","Norbu Kang","Norbu Khang","Kanjiroba Himal (SE of Phoksumdo Tal)",6085,19964,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"855","2003",2,"NORB03201","Jun 25","Japan, Nepal","Tamotsu Ohnishi, Tazuko Inoue, Koji Mizutani, Takehiro Yanigahara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa","2010 German team says 2003 Japanese team did not climb main peak",NA,NA
