"","PEAKID","PKNAME","PKNAME2","LOCATION","HEIGHTM","HEIGHTF","HIMAL","REGION","OPEN","UNLISTED","TREKKING","TREKYEAR","RESTRICT","PHOST","PSTATUS","PEAKMEMO","PYEAR","PSEASON","PEXPID","PSMTDATE","PCOUNTRY","PSUMMITERS","PSMTNOTE","REFERMEMO","PHOTOMEMO"
"266","TKRG","Takargo","Dragker-go","Rolwaling Himal (E of Chobutse)",6771,22215,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"923","2010",1,"TKRG10101","Mar 12","USA","David Gottlieb, Joseph Puryear",NA,NA,NA
"267","THUL","Thulagi","Mansiri Himal","Manaslu Himal (SW of Manaslu)",7059,23159,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"925","2015",3,"THUL15301","Sep 26","Russia","Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo",NA,NA,NA
"268","JOMS","Jomsom Himal","Jomsang Himal","Damodar Himal (WNW of Amotsang Himal)",6335,20784,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"928","2003",3,"JOMS03301","Nov 04","France, Nepal","Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa",NA,NA,NA
"269","BAMO","Bamongo",NA,"Rolwaling Himal (E of Chekigo on Tibetan border)",6406,21017,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"930","2013",3,"BAMO13301","Oct 30","Nepal, China","Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa",NA,NA,NA
"270","CHAW","Chaw Peak","Chaw East","Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border)",6404,21010,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"933",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"271","DING","Dingjung North","Kangkuru, Rima Mancho","Rolwaling Himal (S of Pangbuk Ri on Tibetan border)",6249,20502,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"935","1955",1,"DING55101","May 16","UK","Peter Boultbee, Dennis Davis","This team called the peak Kangkuru",NA,NA
"272","KNAG","Kang Nagchugo","Khang Nagchugo","Rolwaling Himal (E of Chekigo on Tibetan border)",6737,22103,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"937","2008",3,"KNAG08301","Oct 17","USA","Joseph Puryear, David Gottlieb",NA,NA,NA
"273","KBON","Konabon","Kambon","Dhaulagiri Himal (SE of Gurja Himal)",6570,21555,4,6,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,1,"939",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"274","KHAM","Khamjung","Khumjung, Khamjungar","Damodar Himal (W of Saribung and Bhrikuti)",6759,22175,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"941","1982",0,NA,NA,"Japan","Climbed?","Likely climbed in 1982 by Japanese",NA,NA
"275","KYR1","Kyungka Ri 1","Kyungya Ri 1","Langtang Himal (NE of Shalbachum near Tibetan border)",6599,21650,13,3,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"942","2017",3,"KYR117301","Oc 15","S Korea","Han San-Hum, Oh Chi-Wan","Ascent claimed by Italians in 1963 (Lino Andreotti) by likely on different peak",NA,NA
"276","KYR2","Kyungka Ri 2","Kyungya Ri 2","Langtang Himal (NE of Shalbachum on Tibetan border)",6506,21345,13,3,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"944",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"277","KOJI","Kojichuwa Chuli",NA,"Kanti Himal (NNW of Kanti Himal peak on Tibetan border)",6439,21125,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"945","2010",1,"KOJI10101","May 25","Japan","Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto",NA,NA,NA
"278","CHIV","Chhiv Himal","Chhib Himal","Damodar Himal (SW of Saribang and WSW of Bhrikuti)",6650,21818,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"946","2004",3,"CHIV04301","Sep 18","Japan","Takeshi Wada, Mitsuhiro Koseki, Yubo Shibata, Takeo Yoshinaga",NA,NA,NA
"279","LMOC","Langmoche Ri",NA,"Rolwaling Himal (N of Tesi Laptsa)",6552,21496,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"948","2012",3,"LMOC12301","Nov 17","USA","Roberto Villanueva, Alan Rousseau",NA,NA,NA
"280","LCHA","Lachama Chuli","Kubi Kangri, Kubi Dongdong","Changla Himal (N of Gorakh Himal on Tibetan border)",6721,22051,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"951","2007",3,"LCHA07301","Sep 14","Japan","Atsushi Senda, Ryouta Fujii, Keizou Ishikawa, Hiroshi Kobayashi, Kouhei Kotani, Naoki Shimozato, Yuhki Tani",NA,NA,NA
"281","PAN1","Panpoche 1","Pang Phunch 1, Kutang Himal","Manaslu Himal (NE of Sama village near Tibetan border)",6620,21719,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,1,"953",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"282","PAN2","Panpoche 2","Pang Phunch 2","Manaslu Himal (NE of Sama village near Tibetan border)",6504,21339,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,1,"955",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"283","PHOL","Phole",NA,"Kangchenjunga Himal (W of Kumbhakarna and Sobitongie)",6645,21801,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"957",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"284","PHUK","Phu Kang","Phu Khang","Peri Himal (N of Cheo Himal on Tibetan border)",6694,21962,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"959",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"285","LNGK","Langchung Khang","Langpo Chung","Jongsang Himal (NW of Langpo on Indian border)",6786,22264,7,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"960",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"286","PK04","Peak 4","Shershon Ri","Khumbu Himal (SE of Baruntse)",6736,22100,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,1,"962",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"287","NAM2","Nampa II",NA,"Api Himal (W of Nampa)",6585,21604,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"966",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"288","NAM3","Nampa III","Nampa Chuli","Api Himal (SE of Nampa)",6611,21690,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"968",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"289","NAMS","Nampa South",NA,"Api Himal (S of Nampa, W of Nampa Chuli)",6130,20112,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"970",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"290","SOBI","Sobithongie",NA,"Kangchenjunga Himal (W of Kumbhakarna)",6652,21824,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"972",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"291","SHER","Shershon","Peak 3","Makalu Himal (NE of Shershon village on Tibetan border)",6432,21102,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"974",NA,1,NA,NA,NA,"Unclimbed",NA,NA,NA
"292","SWAK","Swaksa Kang",NA,"Kanti Himal (SE of Kanti Himal peak on Tibetan border)",6405,21014,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"979",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"293","TILJ","Tilje",NA,"Peri Himal (SE of Gyajikang)",6530,21424,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"980",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"294","TSAR","Tsartse",NA,"Mukut Himal (N of Dhampus Peak)",6343,20810,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"982","2018",3,"TSAR18301","Sep 25","Japan, Nepal","Kouki Ikeda, Daisuke Simozuru, Yujiro Suga, Asahi Takeshita, Dendi Sherpa, Ngima Sherpa, Pemba Sherpa, Tenjin Sherpa, Bir Kaji Tamang",NA,NA,NA
"295","YAKA","Yakawa Kang",NA,"Damodar Himal (N of Thorong La)",6482,21266,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"984","2010",3,"YAKA10301","Nov 07","Japan, Nepal","Hidenobu Tsuji, Dawa Norbu Sherpa, Dawa Tshering Sherpa, Tshering Tashi Sherpa",NA,NA,NA
"296","YAUP","Yaupa",NA,"Makalu Himal (NE of Shershon village on Tibetan border)",6422,21070,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"986","1989",3,"YAUP89301","Sep","UK, USA","Andy Fanshawe, Vic Saunders, Stephen Sustad",NA,NA,NA
"297","TILK","Til Kang",NA,"Nalakankar Himal (on W Nepal/Tibetan border)",6369,20896,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"987","2018",3,"TILK18301","Oct 15","UK","Ed Douglas, Bruce Normand",NA,NA,NA
"298","YOKO","Yokopahar","Nampa VIII","Guras Himal (NNE of Nampa towards Tibetan border)",6423,21073,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"989",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"299","SALW","Saldim West","Peak 5, Saldim Ri, Yaphu Ri","Makalu Himal (ENE of Shershon village on Tibetan border)",6388,20958,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"993","2016",3,"SALW16301","Nov 01","Romania","Vlad Capusan, Zolt Torok",NA,NA,NA
"300","SAMD","Samdo",NA,"Manaslu Himal (NNE of Panpoche 1 & 2 on Tibetan border)",6335,20784,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"1001","2009",3,"SAMD09302","Oct 20","Japan","Yasuke Kuramoto, Yoshitaka Kameoka, Kohei Kotani, Seiya Nakasukasa, Daisuke Nakatsuka, Hiroki Yamamoto",NA,NA,NA
"301","PURK","Purkhung","Purkhang, Purkung","Damodar Himal (NE of Thorong La)",6126,20098,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1002","2004",2,"PURK04201","Aug 16","Japan","Yuchiro Ishihara, Satoru Endo, Hirayusu Hatsushiya, Teryuki Iwasaki, Terukai Kubo, Kazuko Takano, Hiroshi Yumoto, Ang Kami, Da Chhemba, Gelu, Lhakpa Tenzi, Pema Tenji, Wongchu Sherpas",NA,NA,NA
"302","DZAS","Dzasampatse",NA,"Khumbu Himal (S of Pasang Lhamu Chuli)",6295,20653,12,2,FALSE,TRUE,FALSE,NA,NA,1,2,"1004","2004",3,"DZAS04301","Oct 18","Slovenia","Urban Azman, Tadej Golob",NA,NA,NA
"303","SWEL","Swelokhan",NA,"Manaslu Himal (N of Samdo village on Tibetan border)",6180,20276,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"1006",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"304","MUPK","Mustang Peak",NA,"Mustang Himal (S of Mustang Himal peak on Tibetan border)",6229,20436,16,6,FALSE,TRUE,FALSE,NA,NA,1,2,"1007","2001",3,"MUPK01301","Oct 07","Japan, Nepal","Tomatsu Ohnishi, Koji Mizutani, Takehiko Yanagihara, Katsuhiko Asahi, Mingma Nuru Sherpa, Chuldin Nuru Sherpa, Kancha Dawa Sherpa","Not same peak as Mustang Himal (6195m) on current Ministry list.",NA,NA
"305","JING","Jinjang","Genjang, Gajang, Jijang","Damodar Himal (E of Thorong La)",6111,20049,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1008",NA,0,NA,NA,NA,"Climbed by Japanese in April 1983?",NA,NA,NA
"306","JOBO","Jobo Rinjang","Jobo Ribjang","Rolwaling Himal (SW of Nangpa La near Tibetan border)",6778,22238,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1010","2009",1,"JOBO09101","Apr 22","USA","Joe Puryear, David Gottlieb",NA,NA,NA
"307","KYAB","Kyabura","Ghabur, Temachungi","Kangchenjunga Himal (W of Kumbhakarna, Sobitongie and Phole)",6294,20650,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1015",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"308","KUML","Kumlung","Kang Kuru?","Damodar Himal (NE of Saribung and W of Bhrikuti)",6355,20850,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1017","2008",3,"KUML08301","Oct 14","France","Paulo Grobel, Paul Vulin",NA,NA,NA
"309","DGAR","Dhaulagari","Dhaulasiri","Raksha Urai Himal (E of Bobaye, S of Raksha Urai)",6638,21778,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1018",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"310","LHAY","Lhayul Peak",NA,"Api Himal (SW of Api Main)",6395,20981,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1028",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"311","MERR","Merra",NA,"Kangchenjunga Himal (WNW of Anidesh Chuli)",6334,20781,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1029","2006",3,"MERR06301","Oct 18","Denmark","Claus Ostergaard",NA,NA,NA
"312","PBUK","Pabuk Kang","Kangata","Ohmi Kangri Himal (E of Nangamari I on Tibetan border)",6244,20486,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"1031",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"313","YANK","Yanme Kang","Yanme Khang","Ohmi Kangri Himal (NW of Nangamari on Tibetan border)",6206,20361,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"1032","2017",3,"YANK17301","Oct 29","France","Gregoire Lestienne, Floriane Pugin","May have climbed the 6244m peak northwest of the 6206m peak that Ministry calls Yanme Kang.",NA,NA
"314","DANS","Danphe Shail","Danfe Shail","Palchung Himal (N of Kanjiroba on Tibetan border)",6103,20023,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"1035","2017",3,"DANS17301","Oct 05","France, Nepal","Sonia Baillif, Etienne De Fleurian, Laurence De Fleurian, Paulo Grobel, Jean Males, Etienne Principaud, Bernard Vallet, Dipen Bhote, Dhan Magar, Anil Rai",NA,NA,NA
"315","GAN7","Ganesh VII",NA,"Ganesh Himal (E of Ganesh I in Tibet)",6350,20833,5,4,FALSE,TRUE,FALSE,NA,NA,2,1,"1036",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"316","PHAR","Pharilapcha",NA,"Khumbu Himal (SW of Gokyo Lake)",6017,19741,12,2,FALSE,FALSE,TRUE,"2002","Opened in 2002",1,2,"1038","2003",1,"PHAR03101","May 19","Nepal","Dinesh Devkota, Ongchu Sherpa, Namgyal Sherpa, Lhakpa Sherpa",NA,NA,NA
"317","THOR","Thorong Peak","Thorung Peak","Muktinath Himal, south of Thorong La",6144,20157,1,5,TRUE,FALSE,FALSE,NA,NA,1,2,"1040","2007",3,"THOR07301","Nov 08","Japan, Nepal","Satoru Endo, Mikio Iga, Terue Katakura, Mitsukuni Oka, Rikio Takahashi, Hiroshi Yumoto, Gadjet Bis Gurung, Ang Dawa Tamang, Hit Bahadur Tamang, Pasang Tamang","1st official ascent (likely many others previously)",NA,NA
"318","CHKA","Chamar Kang","Chharka, Kangtega","Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",6060,19882,16,6,FALSE,TRUE,FALSE,NA,NA,1,2,"1042","2007",3,"CHKA07301","Sep 21","Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irisawa, Koichi Kato, Chhepa Sherpa",NA,NA,NA
"319","NUPK","Nupche Kang","Friendship Peak, Nupche Himal","Khumbu Himal (ESE of Nangpa La on Tibetan border)",6576,21575,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1045","1964",1,"NUPK64101","Apr 06","W Germany, Nepal","Fritz Stammberger, Aila Sherpa",NA,NA,NA
"320","PUCH","Punchen Himal","Puchen Himal","Shringi Himal (in Tsum Valley N of Pashuwo on Tibetan border)",6049,19846,5,4,TRUE,FALSE,FALSE,NA,NA,4,1,"1048",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"321","KAKU","Kang Kuru",NA,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",6344,20814,16,6,FALSE,TRUE,FALSE,NA,NA,1,2,"1050","2008",1,"KAKU08101","Apr 16","USA","Peter Athans, Theodore Hessler",NA,NA,NA
"322","AMPM","Amphu Middle","Amphu North","Khumbu Himal (NE of Amphu Laptsa)",6202,20348,12,2,FALSE,TRUE,FALSE,NA,"Requires permit for Amphu I",1,2,"1053","2008",1,"AMPM08101","Apr 20","Germany","Olaf Rieck, Alexander Graeber",NA,NA,NA
"323","LUGU","Lugula",NA,"Damodar Himal (E of Bhrikuti Sail on Tibetan border)",6899,22635,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1055","2010",3,"LUGU10301","Nov 02","France","Renald Guillaune","1st official ascent in Spring 2014 by S Koreans",NA,NA
"324","BHRS","Bhrikuti Shail",NA,"Damodar Himal (NE of Thorong La on Tibetan border)",6361,20869,3,5,TRUE,FALSE,FALSE,NA,NA,4,2,"1056","2005",1,"BHRS05101","May 16","France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh",NA,NA,NA
"325","MYAG","Myagdi Matha",NA,"Dhaulagiri Himal (S of Dhaulagiri IV)",6273,20581,4,6,FALSE,TRUE,FALSE,NA,NA,1,1,"1057",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"326","TOBS","Tobsar","Tabsar","Shringi Himal (ENE of Chamar)",6065,19898,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1058","2017",3,"TOBS17301","Oct 01","Nepal","Narendra Shahi, Iman Gurung, Samir Gurung",NA,NA,NA
"327","DINS","Dingjung Ri","Dingjung Ri South","Rolwaling Himal (S of Pangbuk Ri on Tibetan border)",6196,20328,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"1060","2008",1,"DINS08101","Mar 15","Japan","Kenro Nakajima, Hiroki Yamamoto","1st known ascent (may be others earlier)",NA,NA
"328","DUDH","Dudh Kundali","Dui Tal Chuli, Two Lakes Peak","Jagdula Lekh (S of Kanjiroba Himal)",6045,19833,10,7,TRUE,FALSE,FALSE,NA,NA,1,2,"1062","1953",3,"DUDH53301","Nov","Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa","Climbed again in 1999 by French group",NA,NA
"329","KAGA","Kanta Gaton","Kangfu Gaton","Kanjiroba Himal (SE of Phoksumdo Tal)",5910,19390,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1067","2009",2,"KAGA09201","Aug 16","France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa","1st official ascent",NA,NA
"330","KAPT","Kaptang",NA,"Kanti Himal (NW of Kanti Himal peak on Tibetan border)",5965,19570,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"1068","2009",3,"KAPT09201","Jun 09","Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa",NA,NA,NA
"331","ROMA","Roma",NA,"Saipal Himal (SW of Saipal)",5407,17740,20,7,TRUE,FALSE,FALSE,NA,"Delisted in 2014",1,1,NA,NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"332","RIPI","Ripimo Shar","Khang Karpo, Kang Karpo","Rolwaling Himal (S of Dingjung Ri on Tibetan border)",6647,21808,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014 (as Khang Karpo)",4,2,"1069","1952",1,"RIPI52101","May 29","UK","Tom Bourdillon, Ray Colledge",NA,NA,NA
"333","TSIS","Tsisima","Chijima, MDM Peak","Janak Himal (WSW of Janak Chuli)",6196,20328,6,1,FALSE,TRUE,FALSE,NA,NA,1,2,"1071","1963",1,"TSIS63101","Jun 03","Japan, Nepal","Motohiko Kogo, Kunga Norbu",NA,NA,NA
"334","TAWA","Tawa",NA,"Damodar Himal (NNE of Yakawa Kang)",6110,20046,3,5,FALSE,TRUE,FALSE,NA,NA,1,2,"1076","2010",3,"TAWA10301","Oct 21","Japan, Nepal","Mikio Iga, Kazuya Fujikura, Chhongba Sherpa, Lhakpa Sherpa",NA,NA,NA
"335","URMA","Urkema","Baden Powell Scout Peak, Urgyenma","Langtang Himal (W of Ganja La)",5890,19324,13,3,TRUE,FALSE,FALSE,NA,NA,1,2,"1078","2007",3,"URMA07301","Sep 12","Taiwan, S Korea, Singapore, Australia, Nepal","15 international scout students and 6 Sherpas",NA,NA,NA
"336","MPNW","Manapathi NW",NA,"Dhaulagiri Himal (SSW of Dhaulagiri I, NW of Manapathi)",6384,20945,4,6,FALSE,TRUE,FALSE,NA,NA,1,2,"1079","1977",1,"MPNW77101","Apr 20","Italy, UK, W Germany","Reinhold Messner, Leo Dickinson, Eric Jones, Otto Wiedemann",NA,NA,NA
"337","LUNR","Lunag Ri","Lunag I, Rongshar Ri I, Ondrej Peak","Rolwaling Himal (SW of Nangpa La on Tibetan border)",6895,22621,19,2,FALSE,TRUE,FALSE,NA,"Requires permit for Jobo Rinjang",4,1,"1080",NA,0,NA,NA,NA,NA,NA,NA,NA
"338","JASG","Jasemba Goth","Dzasampa Kang","Khumbu Himal (NW of Pasang Lhamu Chuli)",6730,22080,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1082","1964",1,"JASG64101","Apr 08","W Germany","Georg Huber, Fritz Stammberger",NA,NA,NA
"339","GOJN","Gojung","Mugu Chuli","Kanti Himal (WNW of Kanti Himal peak on Tibetan border)",6310,20702,11,7,FALSE,TRUE,FALSE,NA,NA,4,2,"1084","2011",3,"GOJN11301","Oct 19","UK","Mick Fowler, Dave Turnbull",NA,NA,NA
"340","NAN2","Nangamari II",NA,"Ohmi Kangri Himal (S of Nangamari I)",6209,20371,6,1,TRUE,FALSE,FALSE,NA,NA,1,2,"1085","2016",3,"NAN216301","Oct 17","Japan","Tsuneo Shigehiro, Kensuke Iwai, Kiyo Kuroda, Shiro Matsunaka, Yusuke Morimoto, Kanji Totegi, Miyoko Nagase, Masayuki Takenaka, Saori Tatsuno",NA,NA,NA
"341","DRAG","Dragmorpa Ri","Thakmarpo Ri, Panaya Tippa","Langtang Himal (SW of Tilman's Col on Tibetan border)",6185,20292,13,3,TRUE,FALSE,FALSE,NA,NA,4,2,"1086","2013",1,"DRAG13101","May 30","Russia","Roman Gretzky","Did Gretzky climb Dagmorpa Ri or Paniyo Tippa in Khumbu?",NA,NA
"342","SYKG","Syaokang",NA,"Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border)",5929,19452,6,1,TRUE,FALSE,FALSE,NA,NA,1,2,"1088","2012",3,"SYKG12301","Oct 25","New Zealand","John Cocks, Martin Hunter, Geoffrey Lamarche, Paul Maxim, Nick Schearer",NA,NA,NA
"343","BIJO","Bijora Hiunchuli",NA,"Jagdula Lekh (S of Kande Huinchuli)",6111,20049,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1091",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"344","CHUB","Chhuboche",NA,"Damodar Himal (NNE of Pisang Peak)",5606,18392,3,5,TRUE,FALSE,FALSE,NA,NA,1,2,"1092","2013",3,"CHUB13301","Nov 16","UK","Brian Jackson, Hugh Wrightson, Pasang Sherpa, Tendi Wangya",NA,NA,NA
"345","LUNW","Lunag West",NA,"Rolwaling Himal (W of Lunag I on Tibetan border)",6492,21299,19,2,FALSE,TRUE,FALSE,NA,"Requires permit for Jobo Rinjang",4,2,"1095","2013",3,"LUNW13301","Oct 22","USA","Scott Adamson, Chris Wright",NA,NA,NA
"346","DOMO","Domo","Jongsang SE Peak","Jongsang Himal (SE of Jongsong on Indian border)",7447,24432,7,1,FALSE,TRUE,FALSE,NA,NA,5,2,"1097","1930",1,"DOMO30101","Jun 08","Germany, Nepal","Guenter Dyhrenfurth, Lewa Sherpa",NA,NA,NA
"347","LUN2","Lunag II",NA,"Rolwaling Himal (SW of Nangpa La near Tibetan border)",6812,22349,19,2,FALSE,TRUE,FALSE,NA,"Requires permit for Jobo Rinjang",1,2,"1098","2010",3,"LUN210301","Oct 26","France","Mathieu Detrie, Max Belleville, Mathiew Maynadier, Sebastien Ratel",NA,NA,NA
"348","TRIA","Triangle Peak",NA,"Jugal Himal (NNW of Dome Blanc on Tibetan border)",6484,21273,8,3,FALSE,TRUE,FALSE,NA,NA,4,2,"1099","2013",3,"TRIA13301","Oct 09","France","Sebastien Moatti, Max Bonniot","Climbed from Tibetan side",NA,NA
"349","KASI","Kasi Dalpha",NA,"Jagdula Lekh (S of Kande Huinchuli)",6386,20951,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1100",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"350","NPHU","Narphu",NA,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",5921,19426,3,5,TRUE,FALSE,FALSE,NA,NA,1,2,"1101","2014",3,"NPHU14301","Nov 22","UK, Nepal","Brian Jackson, Heather Bentley, Catherine Husted, Dawn Richardson, James Salt, Rhiannon Thomson, Mingma Dorje Sherpa, Pasang Sherpa Shikhar Pandey","1st official ascent",NA,NA
"351","POTA","Pota Himal North","Peak Hawley","Dhaulagiri Himal (NE of Putha Hiunchuli)",6182,20282,4,6,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1102","2008",1,"POTA08101","May 09","France","Francois Damilano",NA,NA,NA
"352","PANN","Pangbuk North","Jobo LeCoultre","Rolwaling Himal (NE of Pangbuk Ri on Tibetan border)",6478,21253,19,2,FALSE,TRUE,FALSE,NA,NA,4,2,"1103","2013",3,"PANN13301","Nov 01","USA","Scott Adamson, Christopher Wright",NA,NA,NA
"353","MUST","Mustang Himal",NA,"Mustang Himal (S of Mansail on Tibetan border)",6195,20325,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1105","2014",3,"MUST14301","Nov 02","USA","Melissa Arnot, Ben Jones, Jon Mancuso",NA,NA,NA
"354","MNSL","Mansail","Manshail","Mustang Himal (NW of Lo Manthang on Tibetan border)",6235,20456,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1106","2014",3,"MNSL14301","Sep 29","Japan","Yukiko Inoue, Eri Hasegawa, Mariko Nakamura, Kei Taniguchi",NA,NA,NA
"355","CPHU","Chhochenphu Himal",NA,"Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border)",6260,20538,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1108",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"356","TANK","Tankya I",NA,"Kanti Himal (NE of Mariyang on Tibetan border)",6305,20686,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1109",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"357","GORK","Gorakh Khang",NA,"Gorakh Khang (ENE of Simikot on Tibetan border)",6254,20518,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1110",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
